stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03742439999768976,,0.015416000002005603,0.03742439999768976,0.5155851000017719,0.5155851000017719,0.5511918999982299,0.8175080000000889,4.555594500001462,left,-10.0,1,1,4.031906700001855,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
1,2,8.0,4.5657513000041945,,4.5557593000048655,4.5657513000041945,5.06714710000233,5.06714710000233,5.06714710000233,5.366404699998384,6.9851376000005985,left,-8.0,1,1,1.911025500005053,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
2,2,6.0,6.999726599999121,,6.985286100003577,6.999726599999121,7.499856800000998,7.499856800000998,7.499856800000998,7.816252700002224,9.1655385999984,left,-6.0,1,1,1.6623553000026732,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
3,2,4.0,9.182243000002927,,9.165647800000443,9.182243000002927,9.665593500001705,9.665593500001705,9.682600600004662,9.965905400000338,12.150074700002733,right,4.0,1,1,2.4793456999977934,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
4,2,2.0,12.165128699998604,,12.150212200001988,12.165128699998604,12.663624300002994,12.663624300002994,12.663624300002994,12.965498800003843,14.932594700003392,left,-2.0,1,1,2.264592999999877,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
5,2,1.0,14.948622900003102,,14.9327168000018,14.948622900003102,15.448437999999442,15.448437999999442,15.448437999999442,15.746241000000737,17.549139900002046,left,-1.0,1,1,2.0995223999998416,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
6,1,1.0,17.563211799999408,,17.549256700003752,17.563211799999408,18.06440780000412,18.06440780000412,18.06440780000412,18.363886099999945,24.327919700001075,left,-1.0,0,0,6.259027599997353,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
7,1,2.0,24.34443409999949,,24.327974200001336,24.34443409999949,24.829072400003497,24.829072400003497,24.845592500001658,25.128828599998087,28.928612100004102,left,-2.0,0,0,4.088868300001195,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
8,1,3.0,28.944117799997912,,28.928791600003024,28.944117799997912,29.428308200003812,29.428308200003812,29.44565760000114,29.727949300002365,31.36167540000315,right,3.0,1,1,1.9202364000011585,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
9,1,3.0,31.377160600000934,,31.361797400000796,31.377160600000934,31.86056549999921,31.86056549999921,31.877296200000274,32.16103819999989,33.59483349999937,left,-3.0,1,1,1.722840800000995,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
10,1,3.0,33.610232500002894,,33.59497060000285,33.610232500002894,34.09408919999987,34.09408919999987,34.11077450000448,34.39555539999856,35.91100400000141,right,3.0,1,1,1.8097372000047471,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
11,1,2.0,35.92628600000171,,35.9111292000016,35.92628600000171,36.40974699999788,36.40974699999788,36.42643390000012,36.70985369999835,38.39494569999806,left,-2.0,1,1,1.9786927999957697,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
12,1,2.0,38.40932030000113,,38.39511840000341,38.40932030000113,38.90973120000126,38.90973120000126,38.90973120000126,39.2116978999984,41.15980059999856,left,-2.0,1,1,2.2375553000019863,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
13,1,2.0,41.17550640000263,,41.15993739999976,41.17550640000263,41.675437600002624,41.675437600002624,41.675437600002624,41.975413500003924,43.74353220000194,right,2.0,1,1,2.051584199994977,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
